Gene,contrast,estimate,SE,df,t.ratio,p.value,p.adj,Significance
LGALS1,Mars1 - Mars2,-0.49338345750951185,0.08180462254316116,472,-6.031241782812413,1.9730463485245764e-8,1.9730463485245764e-8,***
LGALS1,Mars1 - Mars3,-0.10664629980976954,0.08465229107838572,472,-1.2598158709138536,0.5890356755569299,0.5890356755569299,ns
LGALS1,Mars1 - Mars4,0.387680930232005,0.10640695170307844,472,3.643379723101203,0.0016958912303721707,0.0016958912303721707,**
LGALS1,Mars2 - Mars3,0.3867371576997423,0.07280950545474597,472,5.311630058249949,1.0017966537434475e-6,1.0017966537434475e-6,***
LGALS1,Mars2 - Mars4,0.8810643877415169,0.09544211620241681,472,9.231400379607324,2.8182345346294824e-11,2.8182345346294824e-11,***
LGALS1,Mars3 - Mars4,0.49432723004177453,0.1007895072829043,472,4.904550516893154,7.67666228584929e-6,7.67666228584929e-6,***
LGALS3,Mars1 - Mars2,0.7764565411848207,0.06887677839385015,472,11.273125127091436,2.815703226133337e-11,2.815703226133337e-11,***
LGALS3,Mars1 - Mars3,0.5591138201906585,0.07127442083192041,472,7.8445228128778854,2.8359314896420074e-11,2.8359314896420074e-11,***
LGALS3,Mars1 - Mars4,1.002475004743555,0.08959112338854926,472,11.189445637330657,2.8159474751987545e-11,2.8159474751987545e-11,***
LGALS3,Mars2 - Mars3,-0.2173427209941622,0.061303188209522574,472,-3.5453738596975795,0.0024272264554198175,0.0024272264554198175,**
LGALS3,Mars2 - Mars4,0.22601846355873445,0.0803590956445715,472,2.8126058630427444,0.0262403662945645,0.0262403662945645,*
LGALS3,Mars3 - Mars4,0.44336118455289664,0.0848614215399286,472,5.2245316718420565,1.566801129393447e-6,1.566801129393447e-6,***
LGALS9,Mars1 - Mars2,0.14488522843101925,0.06183750233202893,472,2.3429993606966155,0.08993600655239165,0.08993600655239165,ns
LGALS9,Mars1 - Mars3,-0.08581678491978656,0.06399010330020631,472,-1.3410946457951707,0.5371774928529038,0.5371774928529038,ns
LGALS9,Mars1 - Mars4,-0.5018674977044553,0.08043482042364467,472,-6.239430821889745,5.889419507631999e-9,5.889419507631999e-9,***
LGALS9,Mars2 - Mars3,-0.2307020133508058,0.055037940685762905,472,-4.1916905043375525,1.9328487231295988e-4,1.9328487231295988e-4,***
LGALS9,Mars2 - Mars4,-0.6467527261354745,0.0721463152051928,472,-8.964459574907353,2.8179458766430798e-11,2.8179458766430798e-11,***
LGALS9,Mars3 - Mars4,-0.4160507127846687,0.0761884988634017,472,-5.460807326452326,4.590545782390265e-7,4.590545782390265e-7,***
