Module,Galectin,rho,p,p_adj,Significance
N_branching_score,LGALS1,0.15826177951839634,6.874943138331063e-6,7.932626698074303e-6,***
N_branching_score,LGALS3,-0.3320670320597776,0,0,***
N_branching_score,LGALS9,-0.2611601392366119,7.065840446270495e-14,2.1197521338811484e-13,***
LacNAc_score,LGALS1,0.17956183463570913,3.221381354960685e-7,4.832072032441028e-7,***
LacNAc_score,LGALS3,-0.14728458632896402,2.8788417692427293e-5,3.084473324188638e-5,***
LacNAc_score,LGALS9,-0.3095107483877747,3.3002051513090335e-19,1.2375769317408875e-18,***
Core1_O_score,LGALS1,0.17688744635768336,4.829554007787994e-7,6.585755465165447e-7,***
Core1_O_score,LGALS3,-0.2545587165709171,3.053548857034297e-13,7.633872142585742e-13,***
Core1_O_score,LGALS9,-0.2522891445831902,5.002460152834281e-13,1.0719557470359172e-12,***
Sialylation_score,LGALS1,-0.3815183125576528,0,0,***
Sialylation_score,LGALS3,-0.01849671044891398,0.6008671484268393,0.6008671484268393,
Sialylation_score,LGALS9,0.16203379173858162,4.108803254176773e-6,5.136004067720966e-6,***
Fucosylation_score,LGALS1,0.4131479525029666,0,0,***
Fucosylation_score,LGALS3,-0.24515533336331888,2.2878451845734316e-12,4.289709721075184e-12,***
Fucosylation_score,LGALS9,-0.20979546088161344,2.173255947023856e-9,3.62209324503976e-9,***
